Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S200302	Conflict_Resolution	LEFT	LEFT	506.513300000051	633.3333346	n/a	n/a	2020-03-02 13:14:50.132051	2020-03-02 13:14:50.847238	90	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	594.984000000068	650.0000013	n/a	n/a	2020-03-02 13:14:51.514938	2020-03-02 13:14:52.318787	91	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	753.447699999924	866.6666684	n/a	n/a	2020-03-02 13:14:53.204988	2020-03-02 13:14:54.166066	92	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	596.907300000112	783.3333349	n/a	n/a	2020-03-02 13:14:54.968731	2020-03-02 13:14:55.775597	93	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	462.085000000116	533.3333344	n/a	n/a	2020-03-02 13:14:56.327812	2020-03-02 13:14:56.997704	94	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	444.105900000068	1233.3333358	n/a	n/a	2020-03-02 13:14:58.249668	2020-03-02 13:14:58.901962	95	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	375.468599999977	950.0000019	n/a	n/a	2020-03-02 13:14:59.871154	2020-03-02 13:15:00.454328	96	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	514.83189999999	633.3333346	n/a	n/a	2020-03-02 13:15:01.107572	2020-03-02 13:15:01.829824	97	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	431.320400000004	550.0000011	n/a	n/a	2020-03-02 13:15:02.399270	2020-03-02 13:15:03.037552	98	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	607.333500000095	933.3333352	n/a	n/a	2020-03-02 13:15:03.991200	2020-03-02 13:15:04.805443	99	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	411.030799999935	850.0000017	n/a	n/a	2020-03-02 13:15:05.674718	2020-03-02 13:15:06.295186	100	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	396.247499999845	750.0000015	n/a	n/a	2020-03-02 13:15:07.066132	2020-03-02 13:15:07.671186	101	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	458.419400000139	833.333335	n/a	n/a	2020-03-02 13:15:08.523386	2020-03-02 13:15:09.189612	102	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	585.369499999842	900.0000018	n/a	n/a	2020-03-02 13:15:10.108710	2020-03-02 13:15:10.901524	103	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	426.472600000125	1283.3333359	n/a	n/a	2020-03-02 13:15:12.203632	2020-03-02 13:15:12.838240	104	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	462.418800000023	950.0000019	n/a	n/a	2020-03-02 13:15:13.807347	2020-03-02 13:15:14.478809	105	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	647.987300000068	1500.000003	n/a	n/a	2020-03-02 13:15:15.998659	2020-03-02 13:15:16.856493	106	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	415.185199999996	1483.3333363	n/a	n/a	2020-03-02 13:15:18.359225	2020-03-02 13:15:18.982045	107	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	425.101999999924	683.3333347	n/a	n/a	2020-03-02 13:15:19.685185	2020-03-02 13:15:20.317436	108	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	447.832600000083	1366.6666694	n/a	n/a	2020-03-02 13:15:21.702285	2020-03-02 13:15:22.358264	109	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	414.983800000073	1150.0000023	n/a	n/a	2020-03-02 13:15:23.527513	2020-03-02 13:15:24.150888	110	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	666.393499999913	850.0000017	n/a	n/a	2020-03-02 13:15:25.020097	2020-03-02 13:15:25.893877	111	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	693.06830000005	1416.6666695	n/a	n/a	2020-03-02 13:15:27.329349	2020-03-02 13:15:28.229863	112	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	618.466799999851	850.0000017	n/a	n/a	2020-03-02 13:15:29.100167	2020-03-02 13:15:29.927076	113	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	505.542600000126	1083.3333355	n/a	n/a	2020-03-02 13:15:31.028497	2020-03-02 13:15:31.742142	114	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	598.776000000043	533.3333344	n/a	n/a	2020-03-02 13:15:32.295743	2020-03-02 13:15:33.101670	115	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	570.296700000199	1050.0000021	n/a	n/a	2020-03-02 13:15:34.171575	2020-03-02 13:15:34.950058	116	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	696.472699999958	700.0000014	n/a	n/a	2020-03-02 13:15:35.669605	2020-03-02 13:15:36.573719	117	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	680.507000000034	516.6666677	n/a	n/a	2020-03-02 13:15:37.109289	2020-03-02 13:15:37.998275	118	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	625.020699999823	1083.3333355	n/a	n/a	2020-03-02 13:15:39.101473	2020-03-02 13:15:39.934698	119	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	480.187999999998	1300.0000026	n/a	n/a	2020-03-02 13:15:41.253864	2020-03-02 13:15:41.942204	120	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	596.113000000059	583.3333345	n/a	n/a	2020-03-02 13:15:42.546192	2020-03-02 13:15:43.349866	121	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	544.04529999988	1316.6666693	n/a	n/a	2020-03-02 13:15:44.685997	2020-03-02 13:15:45.439245	122	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	444.979399999966	1133.3333356	n/a	n/a	2020-03-02 13:15:46.593636	2020-03-02 13:15:47.247056	123	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	475.201299999981	1416.6666695	n/a	n/a	2020-03-02 13:15:48.682756	2020-03-02 13:15:49.365786	124	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	LEFT	478.976099999954	750.0000015	n/a	n/a	2020-03-02 13:15:50.135180	2020-03-02 13:15:50.822928	125	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	598.889000000099	516.6666677	n/a	n/a	2020-03-02 13:15:51.359606	2020-03-02 13:15:52.165940	126	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	465.550399999984	1250.0000025	n/a	n/a	2020-03-02 13:15:53.436722	2020-03-02 13:15:54.109567	127	6.64973325	False	n/a	n/a	n/a	n/a
